"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plekhg3",749.511520430409,0.0395029467409072,0.272206748622561,0.145121114523437,0.88461524778038,0.952647272682761
"AI463170",1.7025803286186,0.383690561017001,1.61486003863883,0.237599885956937,0.812191438974863,NA
"Sptb",32.8602550360176,-0.0737891228570336,0.461125485524178,-0.160019615426709,0.872865622449424,0.94745704879077
"Churc1",491.302973209407,0.324027848252559,0.191475974320962,1.69226373910184,0.0905956983258062,0.28916234104166
"Gpx2",7.91095254428578,0.569496078195131,0.76633218536956,0.743145190907641,0.457393782199583,0.708885182108096
"Rab15",13.2938299183712,-2.57892634902674,0.899490918422172,-2.86709548279878,0.00414258008851044,0.0347034682983262
"Fntb",141.995750102791,-0.343247763758282,0.318759957568546,-1.07682209012865,0.281559754563917,0.558185317209852
"Max",482.576590741093,-0.11773209653999,0.193515272499207,-0.608386588921411,0.542931104075249,0.769183628069136
"Fut8",120.918561564726,-0.0377413288168836,0.264344270311969,-0.142773394605235,0.88646914981548,0.953879832049218
"Gphn",1197.53668738982,0.173650898038031,0.142926691946842,1.21496478840087,0.224379521409759,0.49397189458995
"Fam71d",0.348146440999945,0.409762214413484,4.0804728567969,0.100420276961514,0.920010672446109,NA
"Mpp5",407.225898689701,0.232253172638329,0.167305066780556,1.38820166721527,0.165075644760887,0.414319026501803
"Atp6v1d",772.936440117349,0.0800960854319299,0.137566835407866,0.582233975176184,0.560409091371121,0.779033482980429
"Eif2s1",1134.42557415911,-0.18440930171506,0.173607752886038,-1.06221812476378,0.288136673493414,0.565471435666232
"Plek2",29.0537030513636,-1.08732351120613,0.446617754959934,-2.43457296341405,0.0149093736373961,0.0886377882551327
"Tmem229b",205.800289858383,-0.289936318843702,0.449623060100222,-0.644843079843535,0.519028881292399,0.754156210238848
"Plekhh1",23.6629911303369,-3.10157281731941,0.817019325186611,-3.7962049632192,0.000146928036092422,0.00256490290952591
"Pigh",77.149733196448,-0.169798415052868,0.253983268045356,-0.668541736468035,0.503787849628764,0.743112940001689
"9230116L04Rik",0.320989745149377,0.409762214413484,4.0804728567969,0.100420276961514,0.92001067244611,NA
"Arg2",36.7256480838052,-1.76182533032562,0.50481392104693,-3.49004901978889,0.000482931954170107,0.00651482008033984
"Vti1b",1046.63021290384,0.160990951851341,0.144106660490445,1.11716523929867,0.263923680241758,0.538606749152463
"Rdh11",424.658777728309,0.195759542049822,0.236258834930215,0.828580832152348,0.407341637977964,0.671929304185001
"Rdh12",1.78193882415986,-1.92266320337704,1.79241358377282,-1.07266716832733,0.283420476141861,NA
"Zfyve26",726.645435107558,0.378589877264966,0.173764372297378,2.17875432264707,0.0293499238713774,0.140725326393931
"Rad51b",116.062330809271,-2.01614500489871,0.478599062553479,-4.21259706222977,2.52451174876722e-05,0.000596540465370702
"9430078K24Rik",0.333451127445634,0.409762214413484,4.0804728567969,0.100420276961514,0.92001067244611,NA
"Zfp36l1",2550.91711579626,-0.181697074245176,0.22150218382462,-0.820294730769065,0.412048109505352,0.675555767347186
"2310015A10Rik",41.3095266712538,0.132256734115982,0.393386553209589,0.336200444669287,0.73671971760785,0.881866208768065
"Actn1",1242.42171221901,-0.392304002784297,0.191022420422192,-2.05370658542195,0.0400040987936663,0.171818956604005
"Dcaf5",858.239551873883,0.102722556794714,0.150168883628589,0.684046883166398,0.493945561386702,0.736764522471216
"Exd2",227.407996564377,0.090399807398624,0.204184535638627,0.442735817949587,0.657956831696588,0.840064649441223
"Galnt16",3.48874885257736,-2.36106463269298,1.73584307705331,-1.36018322387818,0.173771949998461,0.427935788298952
"Erh",299.317117113796,0.0698248936145595,0.206025862132687,0.338913245607923,0.734675085813461,0.880637506742176
"Slc39a9",1795.7635476087,0.134992176370332,0.116493922857927,1.15879157520488,0.246541152407477,0.51953728936401
"Plekhd1",0.40444579344661,2.34281431340314,4.03126779099816,0.581160675714635,0.561132168227238,NA
"Susd6",1569.17911879931,-0.0457615026910063,0.188140794588277,-0.243230091544737,0.807827157009958,0.917547060223106
"Gm20337",9.11216040111314,1.45299636551637,0.676825384599499,2.14678172328917,0.0318106630392525,0.148095850902444
"Srsf5",1243.93541980991,0.06383578567376,0.256172155613076,0.249190961137002,0.803213070910119,0.915048367753004
"Slc10a1",4196.63919768532,1.89993000553639,0.390810189189461,4.8615160456201,1.16490136078715e-06,4.35836923188255e-05
"Smoc1",2840.50379845558,-0.375580549522115,0.256593879438124,-1.46371593252553,0.143271580398175,0.381535272582129
"Slc8a3",7.33802995398133,0.366861433238431,1.07257775811159,0.342037144126817,0.732322939218654,0.879191415371806
"Cox16",248.763811786857,0.616481444117342,0.235930638019561,2.61297748055184,0.00897572162053777,0.061442256296871
"Synj2bp-cox16",2.00096090354547,-1.352036101533,1.70023246399079,-0.795206614488175,0.426493324786621,NA
"Gm4787",5.93033789056566,-0.145133195676057,0.870821963090338,-0.166662305072112,0.867635766828487,0.945834105375635
"Adam4",2.96444372961429,0.450320463806595,1.33904600059389,0.336299472614735,0.73664504758454,0.881866208768065
"Synj2bp",1027.89518919873,0.380230097396967,0.152082475955077,2.50015720094722,0.0124138208034561,0.0775432015144585
"Adam21",0.150055258816854,-0.552018465015374,4.0804728567969,-0.135282964594623,0.892388153537816,NA
"Med6",148.459246964382,0.0466872938065603,0.217660813297313,0.214495632444358,0.830160572516654,0.927237951700436
"Ttc9",0.621100262783085,-1.08325005045194,2.88214681183654,-0.375848324590265,0.707029659431988,NA
"Map3k9",13.996041531109,-0.703078955292934,0.749958456170317,-0.937490536320139,0.348506289512989,0.62059864420341
"Pcnx",724.306178627115,0.329216972268484,0.14829039820147,2.22008286619613,0.0264131430480137,0.13076417166465
"Sipa1l1",750.241003977442,0.138851834294206,0.161876739864812,0.857762729902796,0.391023493592889,0.657826057663822
"Rgs6",0.18339586862878,1.37153488662711,4.0804728567969,0.336121556192325,0.736779203650581,NA
"Dpf3",13.9543583115797,0.227991062875177,0.617085867950356,0.369464080635077,0.711781841689615,0.869868128577297
"Dcaf4",62.261107337169,-0.147823888070084,0.296828042181271,-0.498011869039682,0.618475676510162,0.815795083035392
"Zfyve1",1361.49445009133,0.257750627329731,0.149471545518948,1.72441267289269,0.0846333713898676,0.277310978635862
"Rbm25",483.055011553848,0.0882921180192924,0.208908102920445,0.422636158124107,0.67256074130695,0.848357559293165
"Psen1",1203.17248362099,0.0126859682950391,0.18184442483578,0.0697627563038871,0.944382491087026,0.975602686227362
"Papln",69.9735887110348,0.241196262543518,0.278762865445959,0.865238137646698,0.386908096971338,0.653658117260962
"Numb",704.884268723323,0.085534998629467,0.133165385758124,0.64232156233775,0.520664416827747,0.754908232572836
"2410016O06Rik",181.221955448747,-0.471931451845681,0.189641283866009,-2.4885480746857,0.0128265894439474,0.0792941525564509
"Acot2",270.363974017579,-3.38047670728943,0.257593947002999,-13.123276950487,2.42229697025391e-39,5.80019009527298e-36
"Acot1",463.654118334472,-1.81141742087506,0.4786456189614,-3.78446464172303,0.000154039804487147,0.0026631647064583
"Acot4",421.036735342181,-0.880841656423432,0.297175719469569,-2.96404315263593,0.00303625705760598,0.0274351604695756
"Acot3",118.765158756672,-2.45717920722551,1.35260755396333,-1.81662389805943,0.0692747216113121,0.245624364607532
"Acot5",0.280550388656331,-1.42033905439437,4.04033632811167,-0.351539807345244,0.725183413758546,NA
"Acot6",14.2197636887444,-0.568754966958931,0.55851122536626,-1.01834115614409,0.308515856104576,0.584130786528122
"Dnal1",19.4875680799189,-0.750578765777231,0.490482867140581,-1.53028539029907,0.125946102950324,0.352516590899532
"Pnma1",0.403880533139074,-1.9505369483496,3.99973954580541,-0.487665990750614,0.625786444824382,NA
"Elmsan1",385.121601062017,-0.726509575318728,0.248577585905666,-2.92266727376793,0.00347047152480402,0.0302366673116188
"Ptgr2",1378.24599103565,0.34410040103244,0.172406922589808,1.99586185904569,0.0459489612896606,0.189154362993855
"Zfp410",256.971750007594,0.179125877312999,0.200645865724448,0.892746415014588,0.37199298803493,0.640889408352973
"Fam161b",4.27097417121794,0.182707432585458,1.07972944983585,0.169215938875462,0.865626793168627,0.944546150825319
"Coq6",320.282939339546,0.190856189461058,0.177707804394039,1.07398878800992,0.282827706726155,0.559772098434311
"Entpd5",7572.56108025756,-0.0266772110653828,0.302787880005948,-0.0881052803859217,0.929792999562189,0.970456667250996
"Ccdc176",4.392370024642,-0.381851205405267,1.11967551802898,-0.341037380255896,0.733075441389793,0.879800757367568
"Rnf113a2",143.033973882421,-0.144910372819192,0.207184153961387,-0.699427876352931,0.484284671700604,0.728633142561795
"Aldh6a1",6223.94764831095,0.698076484950197,0.212928167106186,3.27846002920821,0.00104375144786496,0.0121129253989606
"Lin52",106.643262230615,0.112552583745478,0.28381400006666,0.396571641000944,0.691683368525268,0.859055275043333
"Abcd4",209.587737566321,0.559487308117742,0.230559868531736,2.42664654382699,0.0152390944646774,0.090359087979373
"Syndig1l",0.150055258816854,-0.552018465015374,4.0804728567969,-0.135282964594623,0.892388153537816,NA
"Npc2",3433.4713412548,-0.298840548940352,0.254507154608921,-1.17419311610141,0.240317682720431,0.512307323972343
"Isca2",383.886068195086,0.301083409823282,0.180083824964461,1.67190701265203,0.0945426597506684,0.29689494921046
"Ltbp2",47.0226058688053,-2.09558497808114,0.440265116776765,-4.75982515585877,1.93760737801101e-06,6.69173201920294e-05
"Arel1",1178.96536945116,0.413188913555094,0.160229493352407,2.57873194822086,0.00991637015348497,0.0660493694924054
"Fcf1",331.896971373841,0.103788339062342,0.171507411781999,0.605153666444842,0.545076898613592,0.769999709891241
"Ylpm1",328.039805826624,-0.00781296654969054,0.198231152334653,-0.0394134143784863,0.968560785092572,0.986621724292752
"Prox2",27.4817166847188,-0.49076184336865,0.515471014070487,-0.952064868775612,0.341064084529092,0.614259915486893
"Dlst",3055.83442214005,0.102325427176366,0.142561940509063,0.717761183742173,0.472904550807116,0.720948607963268
"Rps6kl1",12.9569960045842,-2.54478268965668,0.683659236578849,-3.72229694780578,0.000197418654288588,0.00323042574733958
"Pgf",1.01126655376322,-3.26441690058763,2.30830153594168,-1.4142073077363,0.157301042952713,NA
"Eif2b2",502.291214067076,-0.186340209971232,0.145382722475046,-1.28172183598513,0.199940242163835,0.462269304661702
"Mlh3",206.555908966639,0.409046749675085,0.177980808070698,2.29826324595965,0.0215468109696577,0.113818809359229
"Acyp1",73.9132001942685,0.30779781425822,0.269430683044372,1.14240074953724,0.253287479862286,0.526742674646379
"Zc2hc1c",72.2988301823553,0.0356023801618217,0.334060754153974,0.106574566808922,0.915126496391712,0.965316668021218
"Nek9",1615.24390939114,0.0557725813481547,0.143515037067403,0.388618380957255,0.697558467517696,0.862908774136967
"Tmed10",3580.50660291609,0.126962416064256,0.129812956172251,0.978041174070386,0.328053960357507,0.603864401784898
"Fos",158.704793135694,-1.81647708189686,0.420658548950599,-4.31817464884135,1.57324920336161e-05,0.000395847133182072
"Jdp2",84.0420511962733,0.118497119613286,0.387017573392288,0.306180204104518,0.759467443928226,0.893007214618679
"Batf",27.7836208423159,0.341557260212277,0.573371284657747,0.595699975481257,0.551375674594303,0.773973064669892
"Mfsd7c",286.238970456812,-0.994598686527402,0.332138161476222,-2.99453300429799,0.00274865317054205,0.0252654511203952
"0610007P14Rik",702.784833162195,0.852845558304033,0.191960891436628,4.44280890717568,8.8792020645123e-06,0.000245794790097973
